No    Ref    V       B-V     
 0210   548  19.306   2.327         
 0211   548  16.860   1.436         
 0212   548  21.436  -0.673         
 0213   548  22.097  -2.088         
 0214   548  18.974   2.942         
 0215   548  14.213   0.827         
 0216   548  21.174  -0.019         
 0217   548  23.885  -2.017         
 0218   548  15.584   1.144         
 0219   548  13.524   0.804         
 0220   548  19.434   2.015         
 0221   548  18.162   3.570         
 0222   548  20.343   2.149         
 0223   548  16.996   1.758         
 0224   548  18.759   1.947         
 0225   548  20.195   0.934         
 0226   548  22.910   1.198         
 0227   548  19.622   2.376         
 0228   548  18.622   2.126         
 0229   548  12.853   2.162         
 0230   548  19.739   2.002         
 0231   548  22.462  -2.334         
 0232   548  21.214  -0.333         
 0233   548  21.121   1.252         
 0234   548  21.573  -0.566         
 0235   548  18.280   3.405         
 0236   548  21.942   0.177         
 0237   548  21.163   0.293         
 0238   548  20.435   0.710         
 0239   548  19.881   2.204         
 0240   548  17.988   1.930         
 0241   548  19.143   1.760         
 0242   548  17.501   1.857         
 0243   548  18.793   2.090         
 0244   548  19.511   2.255         
 0245   548  18.920   1.956         
 0246   548  19.611   2.511         
 0247   548  15.569   1.525         
 0248   548  14.154   1.094         
 0249   548  19.509   2.170         
 0250   548  16.440   1.729         
 0251   548  18.913   2.365         
 0252   548  17.600   1.796         
 0253   548  17.858   2.869         
 0254   548  20.686   1.847         
 0255   548  22.537  -0.337         
 0256   548  18.104   2.183         
 0257   548  17.822   1.766         
 0258   548  19.258   2.056         
 0259   548  22.991  -2.839         
 0260   548  21.291  -0.516         
 0261   548  20.223   1.792         
 0262   548  20.681   2.493         
 0263   548  20.286   1.695         
 0264   548  20.981   2.625         
 0265   548  20.707   2.737         
 0266   548  16.572   1.515         
 0267   548  17.201   1.598         
 0268   548  20.909   0.816         
 0269   548  18.008   1.765         
 0270   548  20.295   1.977         
 0271   548  21.731  -2.392         
 0272   548  22.729  -2.148         
 0273   548  19.871   2.483         
 0274   548  21.262   1.367         
 0275   548  20.352   2.465         
 0276   548  18.444   1.594         
 0277   548  16.518   1.958         
 0278   548  21.236   0.895         
 0279   548  19.840  -0.064         
 0280   548  19.071   1.942         
 0281   548  18.988   1.901         
 0282   548  20.823  -0.011         
 0283   548  22.828  -0.986         
 0284   548  19.018   2.334         
 0285   548  20.668   1.482         
 0286   548  18.779   2.373         
 0287   548  21.677   1.344         
 0288   548  17.806   1.881         
 0289   548  22.491  -1.154         
 0290   548  17.408   1.530         
 0291   548  17.266   1.987         
 0292   548  22.885  -3.183         
 0293   548  17.139   1.676         
 0294   548  18.197   2.567         
 0295   548  18.832   1.945         
 0296   548  15.979   1.465         
 0297   548  17.876   2.255         
 0298   548  19.918   1.988         
 0299   548  18.049   1.691         
 0300   548  22.245   1.450         
 0301   548  17.799   1.926         
 0302   548  19.630   1.825         
 0303   548  18.506   1.833         
 0304   548  21.543  -1.526         
 0305   548  16.652   1.474         
 0306   548  16.574   1.453         
 0307   548  18.984   2.110         
 0308   548  17.237   1.606         
 0309   548  19.265   2.187         
 0310   548  19.815   2.081         
 0311   548  21.674   1.569         
 0312   548  16.579   1.422         
 0313   548  20.175   0.896         
 0314   548  21.384   0.077         
 0315   548  19.338   2.777         
 0316   548  18.895   1.989         
 0317   548  18.354   1.726         
 0318   548  21.113   2.941         
 0319   548  16.902   1.566         
 0320   548  22.794   0.389         
 0321   548  19.916   2.357         
 0322   548  19.701   2.714         
 0323   548  18.167   1.837         
 0324   548  20.392   1.388         
 0325   548  17.964   1.691         
 0326   548  11.761   0.599         
 0327   548  15.811   1.610         
 0328   548  19.109   0.395         
 0329   548  22.608   1.009         
 0330   548  16.498   1.449         
 0331   548  17.328   3.016         
 0332   548  20.034   2.142         
 0333   548  18.590   1.904         
 0334   548  18.343   2.247         
 0335   548  17.427   1.768         
 0336   548  22.217   0.566         
 0337   548  18.302   2.042         
 0338   548  22.322  -0.899         
 0339   548  16.328   1.588         
 0340   548  16.343   1.475         
 0341   548  20.224   3.483         
 0342   548  18.771   3.927         
 0343   548  20.157   1.892         
 0344   548  14.859   1.423         
 0345   548  14.452   1.146         
 0346   548  18.444   2.050         
 0347   548  21.487  -0.534         
 0348   548  18.137   2.001         
 0349   548  20.372   2.144         
 0350   548  19.557   2.181         
 0351   548  17.991   1.787         
 0352   548  21.112   0.027         
 0353   548  21.725   0.667         
 0354   548  14.774   1.125         
 0355   548  19.429   2.117         
 0356   548  19.835   1.967         
 0357   548  19.754   2.324         
 0358   548  17.536   2.120         
 0359   548  16.709   1.403         
 0360   548  23.268  -1.818         
 0361   548  17.297   1.501         
 0362   548  21.545   0.123         
 0363   548  16.387   1.566         
 0364   548  21.967   0.743         
 0365   548  18.439   2.038         
 0366   548  20.002   1.812         
 0367   548  19.898   1.756         
 0368   548  17.188   1.669         
 0369   548  18.139   1.764         
 0370   548  20.081   1.788         
 0371   548  16.518   1.647         
 0372   548  19.903   1.971         
 0373   548  16.442   1.530         
 0374   548  19.450   2.081         
 0375   548  21.300   0.487         
 0376   548  18.943   1.840         
 0377   548  18.268   1.908         
 0378   548  18.083   1.750         
 0379   548  21.694  -1.457         
 0380   548  21.233   1.373         
 0381   548  18.841   2.050         
 0382   548  20.521   2.267         
 0383   548  20.456   1.864         
 0384   548  23.559  -0.186         
 0385   548  16.799   1.368         
 0386   548  20.567   1.821         
 0387   548  17.404   2.220         
 0388   548  19.397   2.098         
 0389   548  15.711   1.424         
 0390   548  18.125   2.123         
 0391   548  18.620   3.045         
 0392   548  21.610  -0.367         
 0393   548  21.159   1.003         
 0394   548  17.110   1.757         
 0395   548  19.539   2.218         
 0396   548  18.975   2.128         
 0397   548  18.549   2.267         
 0398   548  20.251   1.953         
 0399   548  19.930   2.249         
 0400   548  20.885   1.106         
 0401   548  21.509   1.453         
 0402   548  19.523   2.003         
 0403   548  19.365   2.006         
 0404   548  16.378   1.931         
 0405   548  15.987   1.664         
 0406   548  18.173   1.755         
 0407   548  20.682   0.968         
 0408   548  21.828  -0.521         
 0409   548  19.735   3.145         
 0410   548  20.101   1.921         
 0411   548  18.249   1.907         
 0412   548  18.833   1.756         
 0413   548  17.663   1.641         
 0414   548  21.919  -0.105         
 0415   548  17.790   1.887         
 0416   548  19.795   2.567         
 0417   548  21.421   2.474         
 0418   548  18.943   1.973         
 0419   548  18.356   1.974         
 0420   548  16.736   2.117         
 0421   548  16.919   1.933         
 0422   548  19.398   2.032         
 0423   548  23.013  -3.163         
 0424   548  18.770   2.486         
 0425   548  16.447   1.343         
 0426   548  15.912   1.507         
 0427   548  22.531  -1.835         
 0428   548  17.098   1.488         
 0429   548  21.004   1.968         
 0430   548  20.584   3.049         
 0431   548  17.512   1.659         
 0432   548  20.168   1.323         
 0433   548  19.314   2.341         
 0434   548  22.859   0.143         
 0435   548  21.871   0.458         
 0436   548  20.904   2.158         
 0437   548  17.667   1.547         
 0438   548  21.068   1.965         
 0439   548  18.394   2.282         
 0440   548  17.844   2.003         
 0441   548  19.559   2.033         
 0442   548  19.587   1.990         
 0443   548  18.366   1.951         
 0444   548  20.044   1.519         
 0445   548  20.334   1.754         
 0446   548  18.382   1.872         
 0447   548  19.069   1.859         
 0448   548  16.477   1.253         
 0449   548  19.466   2.014         
 0450   548  16.471   1.614         
 0451   548  22.772   0.133         
 0452   548  18.696   1.862         
 0453   548  20.948   0.401         
 0454   548  19.663   2.273         
 0455   548  19.610   2.201         
 0456   548  20.238   1.562         
 0457   548  17.716   1.542         
 0458   548  22.340  -0.387         
 0459   548  23.052  -2.351         
 0460   548  22.322  -1.935         
 0461   548  20.647   2.478         
 0462   548  21.294   1.378         
 0463   548  19.981   3.064         
 0464   548  19.463   2.212         
 0465   548  20.084   2.570         
 0466   548  15.575   3.510         
 0467   548  16.693   1.632         
 0468   548  20.090   2.224         
 0469   548  20.264  -0.101         
 0470   548  21.011   1.020         
 0471   548  16.657   2.045         
 0472   548  21.697  -0.143         
 0473   548  17.738   1.591         
 0474   548  18.317   1.723         
 0475   548  19.752   1.893         
 0476   548  18.520   2.200         
 0477   548  21.142   1.343         
 0478   548  18.692   2.079         
 0479   548  17.648   1.956         
 0480   548  18.206   1.923         
 0481   548  19.889   2.761         
 0482   548  21.187   1.930         
 0483   548  19.677   2.200         
 0484   548  20.163   1.711         
 0485   548  19.498   2.296         
 0486   548  18.973   1.805         
 0487   548  21.088   2.958         
 0488   548  19.419   2.529         
 0489   548  16.598   1.819         
 0490   548  21.016   0.432         
 0491   548  19.968   1.636         
 0492   548  22.015   2.027         
 0493   548  17.821   2.015         
 0494   548  19.450   2.560         
 0495   548  17.355   1.831         
 0496   548  21.344   1.634         
 0497   548  18.334   1.896         
 0498   548  21.230   1.481         
 0499   548  22.529  -0.446         
 0500   548  17.431   1.611         
 0501   548  20.959   0.949         
 0502   548  22.361   1.001         
 0503   548  18.481   1.491         
 0504   548  18.075   1.663         
 0505   548  15.991   2.611         
 0506   548  18.730   1.705         
 0507   548  19.892   2.025         
 0508   548  20.662   2.278         
 0509   548  22.626  -0.809         
 0510   548  22.354  -1.183         
 0511   548  19.154   2.080         
 0512   548  18.297   1.801         
 0513   548  19.639   1.975         
 0514   548  17.470   1.652         
 0515   548  19.036   2.134         
 0516   548  20.987   0.419         
 0517   548  21.520   0.037         
 0518   548  19.139   1.629         
 0519   548  19.831   2.434         
 0520   548  19.215   2.380         
 0521   548  21.539  -0.370         
 0522   548  20.858   2.172         
 0523   548  14.333   1.201         
 0524   548  20.238   1.834         
 0525   548  20.834  -0.350         
 0526   548  18.453   1.839         
 0527   548  17.788   1.555         
 0528   548  18.581   1.759         
 0529   548  21.405   1.309         
 0530   548  17.594   1.663         
 0531   548  20.078   2.587         
 0532   548  18.426   1.900         
 0533   548  20.808   2.188         
 0534   548  20.767  -0.416         
 0535   548  20.578   3.580         
 0536   548  20.319   2.981         
 0537   548  20.837   0.817         
 0538   548  18.405   1.832         
 0539   548  20.802   1.805         
 0540   548  19.858   1.186         
 0541   548  21.717  -0.541         
 0542   548  19.702   1.344         
 0543   548  18.220   1.810         
 0544   548  18.180   1.981         
 0545   548  15.019   1.133         
 0546   548  12.290   0.428         
 0547   548  17.775   1.828         
 0548   548  19.461   2.758         
 0549   548  18.415   1.818         
 0550   548  16.739   1.533         
 0551   548  20.300   2.164         
 0552   548  19.362   2.353         
 0553   548  17.904   1.786         
 0554   548  19.199   0.395         
 0555   548  18.766   1.865         
 0556   548  21.159   1.631         
 0557   548  20.459   2.025         
 0558   548  21.922  -1.057         
 0559   548  23.073  -2.320         
 0560   548  20.490   2.108         
 0561   548  21.735   1.832         
 0562   548  18.083   1.768         
 0563   548  16.917   1.371         
 0564   548  18.038   1.789         
 0565   548  23.113  -1.457         
 0566   548  18.019   1.608         
 0567   548  18.737   2.213         
 0568   548  17.421   1.302         
 0569   548  21.962   0.669         
 0570   548  18.854   1.926         
 0571   548  20.594   1.776         
 0572   548  19.061   1.909         
 0573   548  19.755   2.139         
 0574   548  17.838   1.775         
 0575   548  22.668  -0.601         
 0576   548  17.889   1.611         
 0577   548  19.749   0.467         
 0578   548  20.365   1.433         
 0579   548  19.723   1.665         
 0580   548  14.868   1.355         
 0581   548  19.453   1.755         
 0582   548  21.212   2.739         
 0583   548  21.058   2.371         
 0584   548  19.641   2.014         
 0585   548  14.954   3.257         
 0586   548  15.099   1.179         
 0587   548  20.271   2.089         
 0588   548  19.359   1.974         
 0589   548  21.567   0.648         
 0590   548  20.363   2.945         
 0591   548  19.404   1.915         
 0592   548  18.863   1.963         
 0593   548  16.776   1.519         
 0594   548  18.348   2.003         
 0595   548  19.921   2.221         
 0596   548  18.446   4.174         
 0597   548  19.203   1.815         
 0598   548  19.877   2.261         
 0599   548  18.334   1.866         
 0600   548  20.617   1.375         
 0601   548  18.031   3.283         
 0602   548  17.021   1.886         
 0603   548  17.293   1.701         
 0604   548  20.925   0.504         
 0605   548  21.217   1.306         
 0606   548  22.627  -0.444         
 0607   548  18.194   2.087         
 0608   548  17.368   1.528         
 0609   548  21.299   0.021         
 0610   548  20.967   1.777         
 0611   548  20.176   1.663         
 0612   548  18.343   1.990         
 0613   548  19.650   2.486         
 0614   548  22.752   1.340         
 0615   548  19.094   1.745         
 0616   548  16.873   1.909         
 0617   548  20.047   1.803         
 0618   548  20.407   1.726         
 0619   548  19.212   1.980         
 0620   548  21.859  -0.530         
 0621   548  19.047   1.682         
 0622   548  20.750   0.697         
 0623   548  16.480   1.942         
 0624   548  23.041   1.108         
 0625   548  20.057   2.421         
 0626   548  20.093   1.708         
 0627   548  18.906   1.746         
 0628   548  21.138   1.166         
 0629   548  19.712   2.094         
 0630   548  19.508   2.452         
 0631   548  19.714   2.273         
 0632   548  15.235   3.211         
 0633   548  19.199   1.938         
 0634   548  18.086   1.932         
 0635   548  20.692   1.079         
 0636   548  16.450   1.308         
 0637   548  22.116   1.099         
 0638   548  17.581   1.608         
 0639   548  14.928   1.150         
 0640   548  19.083   2.231         
 0641   548  18.707   1.834         
 0642   548  22.089   0.820         
 0643   548  16.446   1.924         
 0644   548  16.916   2.736         
 0645   548  17.721   1.985         
 0646   548  18.565   1.930         
 0647   548  19.060   2.270         
 0648   548  18.986   2.232         
 0649   548  19.250   1.616         
 0650   548  18.381   2.293         
 0651   548  18.746   1.738         
 0652   548  22.197  -0.606         
 0653   548  14.011   2.652         
 0654   548  18.769   2.270         
 0655   548  18.439   2.008         
 0656   548  23.090  -0.216         
 0657   548  21.902   0.349         
 0658   548  19.195   2.004         
 0659   548  18.800   2.119         
 0660   548  20.211   2.054         
 0661   548  17.166   1.919         
 0662   548  20.498   2.091         
 0663   548  20.342   1.986         
 0664   548  18.398   1.920         
 0665   548  22.445  -1.857         
 0666   548  18.387   1.935         
 0667   548  18.503   1.998         
 0668   548  20.289   1.528         
 0669   548  18.957   1.932         
 0670   548  17.471   3.049         
 0671   548  18.633   1.698         
 0672   548  19.296   1.728         
 0673   548  18.282   1.977         
 0674   548  20.561   2.248         
 0675   548  20.974   1.829         
 0676   548  21.897  -0.407         
 0677   548  20.289   2.122         
 0678   548  21.125   1.754         
 0679   548  16.283   1.324         
 0680   548  18.526   1.965         
 0681   548  15.248   3.755         
 0682   548  15.868   1.154         
 0683   548  20.150   3.098         
 0684   548  16.996   1.944         
 0685   548  19.542   1.918         
 0686   548  18.923   2.188         
 0687   548  19.407   1.175         
 0688   548  19.987   2.585         
 0689   548  20.558   1.299         
 0690   548  17.253   2.001         
 0691   548  15.983   1.265         
 0692   548  19.596   1.048         
 0693   548  19.356   2.060         
 0694   548  18.979   1.853         
